"Data","Último","Abertura","Máxima","Mínima","Var%","média"
"01.12.2024","6,4023","6,3180","6.5561","6.1618","1,36%","6,359"
"01.11.2024","6,3164","6,2988","6.4597","6.0084","0,30%","6,234"
"01.10.2024","6,2977","6,0687","6.3005","5.9504","3,79%","6,1255"
"01.09.2024","6,0677","6,2003","6.269","6.0096","-2,10%","6,1393"
"01.08.2024","6,1977","6,1167","6.4308","5.955","1,33%","6,1929"
"01.07.2024","6,1161","5,9999","6.1725","5.8149","2,08%","5,9937"
"01.06.2024","5,9912","5,6880","5.9991","5.6769","5,38%","5,838"
"01.05.2024","5,6853","5,5393","5.7097","5.44","2,66%","5,5748"
"01.04.2024","5,5382","5,4121","5.6301","5.399","2,33% ","5,5146"
"01.03.2024","5,4120","5,3714","5.4847","5.3552","0,77%","5,42"
"01.02.2024","5,3708","5,3562","5.4225","5.2977","0,26%","5,3601"
"01.01.2024","5,3567","5,3566","5.4469","5.2863","0,04%","5,3666"
"01.12.2023","5,3548","5,3580","5.4124","5.2551","-0,02%","5,3338"
"01.11.2023","5,3560","5,3254","5.4085","5.1867","0,58%","5,2976"
"01.10.2023","5,3250","5,3183","5.4851","5.2144","0,10%","5,3498"
"01.09.2023","5,3195","5,3732","5.3816","5.1688","-0,96%","5,2752"
"01.08.2023","5,3711","5,1957","5.4676","5.1807","3,40%","5,3241"
"01.07.2023","5,1944","5,2215","5.4409","5.1728","-0,52%","5,3068"
"01.06.2023","5,2215","5,4068","5.4204","5.1758","-3,40%","5,2981"
"01.05.2023","5,4053","5,4971","5.5773","5.3038","-1,66%","5,4406"
"01.04.2023","5,4966","5,4927","5.6234","5.3712","0,16%","5,4973"
"01.03.2023","5,4879","5,5386","5.7523","5.387","-0,91%","5,5696"
"01.02.2023","5,5383","5,5119","5.6933","5.418","0,51%","5,5556"
"01.01.2023","5,5104","5,6576","5.8285","5.4868","-2,59%","5,6576"
"01.12.2022","5,6571","5,3966","5.725","5.3891","4,86%","5,557"
"01.11.2022","5,3951","5,1207","5.7246","4.9519","5,40%","5,3383"
"01.10.2022","5,1185","5,3074","5.4362","5.0128","-3,54%","5,2245"
"01.09.2022","5,3066","5,2125","5.3193","4.9823","1,80%","5,1508"
"01.08.2022","5,2126","5,2898","5.3898","5.011","-1,39%","5,2004"
"01.07.2022","5,2862","5,5111","5.6409","5.2382","-4,05%","5,4396"
"01.06.2022","5,5095","5,0809","5.5722","5.0592","8,51%","5,3157"
"01.05.2022","5,0776","5,2460","5.4648","5.0321","-3,12%","5,2484"
"01.04.2022","5,2411","5,2452","5.33","4.9877","-0,04%","5,1588"
"01.03.2022","5,2432","5,7887","5.7969","5.1895","-9,43%","5,4932"
"01.02.2022","5,7889","5,9592","6.1249","5.5886","-2,84%","5,8568"
"01.01.2022","5,9581","6,3321","6.477","5.9207","-5,91%","6,1988"
"01.12.2021","6,3323","6,3775","6.4972","6.2409","-0,67%","6,369"
"01.11.2021","6,3753","6,5166","6.6016","6.1693","-2,18%","6,3855"
"01.10.2021","6,5172","6,3045","6.6953","6.209","3,39%","6,4521"
"01.09.2021","6,3033","6,0831","6.3682","6.0743","3,68%","6,2212"
"01.08.2021","6,0797","6,1849","6.3917","6.0378","-1,73%","6,2148"
"01.07.2021","6,1870","5,8934","6.3046","5.8766","5,04%","6,0906"
"01.06.2021","5,8903","6,3804","6.3885","5.8444","-7,65%","6,1165"
"01.05.2021","6,3780","6,5411","6.5929","6.3","-2,38%","6,4465"
"01.04.2021","6,5337","6,6080","6.863","6.4465","-1,07%","6,6548"
"01.03.2021","6,6046","6,7628","7.0013","6.4761","-2,29%","6,7387"
"01.02.2021","6,7597","6,6321","6.7754","6.3883","1,97%","6,5818"
"01.01.2021","6,6293","6,3527","6.7079","6.2935","4,52%","6,5007"
"01.12.2020","6,3428","6,3604","6.488","6.0861","-0,27%","6,2871"
"01.11.2020","6,3599","6,6950","6.7754","6.2108","-4,94%","6,4931"
"01.10.2020","6,6907","6,5772","6.7891","6.4653","1,76%","6,6272"
"01.09.2020","6,5752","6,5562","6.6523","6.1474","0,32%","6,3999"
"01.08.2020","6,5545","6,1528","6.7101","6.1121","6,54%","6,4111"
"01.07.2020","6,1523","6,1399","6.2165","5.884","0,22%","6,0502"
"01.06.2020","6,1390","5,9214","6.1929","5.4212","3,66%","5,807"
"01.05.2020","5,9220","6,0121","6.4966","5.7861","-1,46%","6,1414"
"01.04.2020","6,0097","5,7421","6.2046","5.5156","4,69%","5,8601"
"01.03.2020","5,7402","4,9222","5.7533","4.9222","16,39%","5,3378"
"01.02.2020","4,9318","4,7503","4.9668","4.6293","3,83%","4,798"
"01.01.2020","4,7500","4,5068","4.7579","4.4777","5,43%","4,6178"
"01.12.2019","4,5053","4,6663","4.6873","4.4861","-3,45%","4,5867"
"01.11.2019","4,6664","4,4813","4.7127","4.405","4,17%","4,5588"
"01.10.2019","4,4794","4,5296","4.6548","4.4056","-1,08%","4,5302"
"01.09.2019","4,5282","4,5552","4.6136","4.4038","-0,54%","4,5087"
"01.08.2019","4,5526","4,2251","4.6515","4.2045","7,79%","4,428"
"01.07.2019","4,2236","4,3788","4.3838","4.1713","-3,48%","4,2776"
"01.06.2019","4,3760","4,3815","4.4065","4.3076","-0,21%","4,357"
"01.05.2019","4,3850","4,3979","4.6049","4.357","-0,26%","4,481"
"01.04.2019","4,3964","4,4008","4.4612","4.2979","-0,11%","4,3796"
"01.03.2019","4,4013","4,2701","4.5095","4.2579","3,20%","4,3837"
"01.02.2019","4,2650","4,1709","4.2849","4.1663","2,26%","4,2256"
"01.01.2019","4,1708","4,4503","4.482","4.1637","-6,28%","4,3229"
"01.12.2018","4,4504","4,3762","4.4967","4.3229","1,73%","4,4098"
"01.11.2018","4,3746","4,2101","4.4713","4.1961","3,92%","4,3337"
"01.10.2018","4,2094","4,7000","4.7166","4.0811","-10,41%","4,3988"
"01.09.2018","4,6986","4,7029","4.9317","4.6209","-0,10%","4,7763"
"01.08.2018","4,7035","4,3917","4.9092","4.2596","7,09%","4,5844"
"01.07.2018","4,3920","4,5170","4.6482","4.3165","-3,02%","4,4824"
"01.06.2018","4,5289","4,3539","4.6839","4.2934","4,07%","4,4886"
"01.05.2018","4,3516","4,2362","4.4412","4.2003","2,76%","4,3208"
"01.04.2018","4,2349","4,0729","4.2816","4.0396","4,01%","4,1606"
"01.03.2018","4,0716","3,9586","4.1399","3.9537","2,89%","4,0468"
"01.02.2018","3,9573","3,9550","4.0845","3.9358","0,01%","4,0102"
"01.01.2018","3,9568","3,9757","4.0028","3.8508","-0,41%","3,9268"
"01.12.2017","3,9732","3,8958","3.9847","3.8068","2,01%","3,8958"
"01.11.2017","3,8950","3,8115","3.9299","3.7543","2,22%","3,8421"
"01.10.2017","3,8104","3,7385","3.8497","3.659","2,04%","3,7543"
"01.09.2017","3,7342","3,7483","3.7722","3.6899","-0,37%","3,731"
"01.08.2017","3,7479","3,7023","3.8235","3.6611","1,26%","3,7423"
"01.07.2017","3,7011","3,7760","3.7862","3.6127","-2,00%","3,6994"
"01.06.2017","3,7768","3,6277","3.7938","3.6037","4,14%","3,6988"
"01.05.2017","3,6266","3,4603","3.8059","3.3992","4,82%","3,6026"
"01.04.2017","3,4600","3,3288","3.5069","3.2854","4,02%","3,3962"
"01.03.2017","3,3263","3,2882","3.416","3.2514","1,19%","3,3337"
"01.02.2017","3,2873","3,4023","3.4069","3.2283","-3,36%","3,3176"
"01.01.2017","3,4015","3,4276","3.4639","3.3193","-0,54%","3,3916"
"01.12.2016","3,4201","3,5832","3.7348","3.396","-4,49%","3,5654"
"01.11.2016","3,5809","3,5020","3.8066","3.4822","2,31%","3,6444"
"01.10.2016","3,4999","3,6660","3.6686","3.3776","-4,44%","3,5231"
"01.09.2016","3,6624","3,6013","3.7838","3.5754","1,86%","3,6796"
"01.08.2016","3,5955","3,6290","3.6862","3.4752","-0,87%","3,5807"
"01.07.2016","3,6271","3,5687","3.7331","3.5549","1,68%","3,644"
"01.06.2016","3,5673","4,0181","4.0616","3.5217","-11,22%","3,7916"
"01.05.2016","4,0181","3,9313","4.1912","3.9088","2,12%","4,05"
"01.04.2016","3,9347","4,0896","4.2342","3.8972","-3,74%","4,0657"
"01.03.2016","4,0875","4,3674","4.3772","3.9448","-6,37%","4,161"
"01.02.2016","4,3654","4,3323","4.5567","4.298","0,80%","4,4274"
"01.01.2016","4,3307","4,3017","4.5512","4.2818","0,72%","4,4165"
"01.12.2015","4,2998","4,0887","4.4096","4.0079","5,25%","4,2088"
"01.11.2015","4,0852","4,2524","4.2705","3.9144","-3,73%","4,0925"
"01.10.2015","4,2437","4,4160","4.5715","4.2077","-3,82%","4,3896"
"01.09.2015","4,4121","4,0591","4.784","4.0566","8,76%","4,4203"
"01.08.2015","4,0569","3,7540","4.1882","3.7445","7,95%","3,9664"
"01.07.2015","3,7580","3,4569","3.7984","3.4027","8,80%","3,6006"
"01.06.2015","3,4541","3,4934","3.568","3.4295","-1,10%","3,4988"
"01.05.2015","3,4925","3,3834","3.5072","3.3129","3,26%","3,41"
"01.04.2015","3,3823","3,4309","3.4463","3.1508","-1,33%","3,2986"
"01.03.2015","3,4279","3,1763","3.5664","3.1681","7,91%","3,3672"
"01.02.2015","3,1766","3,0270","3.2862","3.0201","4,97%","3,1532"
"01.01.2015","3,0262","3,2152","3.2584","2.8633","-5,85%","3,0609"
"01.12.2014","3,2142","3,1951","3.4588","3.1377","0,65%","3,2982"
"01.11.2014","3,1935","3,1023","3.274","3.0666","2,91%","3,1703"
"01.10.2014","3,1033","3,0898","3.2434","2.9801","0,49%","3,1117"
"01.09.2014","3,0882","2,9378","3.148","2.8907","5,19%","3,0194"
"01.08.2014","2,9357","3,0315","3.0932","2.9349","-3,12%","3,014"
"01.07.2014","3,0302","3,0319","3.0593","2.972","-0,02%","3,0156"
"01.06.2014","3,0308","3,0563","3.1196","2.9778","-0,75%","3,0487"
"01.05.2014","3,0538","3,0965","3.1294","3.005","-1,33%","3,0672"
"01.04.2014","3,0949","3,1281","3.1504","3.0245","-1,03%","3,0874"
"01.03.2014","3,1270","3,2236","3.301","3.0924","-3,10%","3,1967"
"01.02.2014","3,2270","3,2555","3.3286","3.1772","-0,80%","3,2529"
"01.01.2014","3,2529","3,2469","3.3466","3.1565","0,20%","3,2516"
"01.12.2013","3,2463","3,1751","3.2743","3.1581","2,29%","3,2162"
"01.11.2013","3,1737","3,0427","3.1868","3.0182","4,36%","3,1025"
"01.10.2013","3,0410","2,9976","3.0511","2.9044","1,47%","2,9778"
"01.09.2013","2,9968","3,1532","3.1674","2.948","-4,99%","3,0577"
"01.08.2013","3,1541","3,0292","3.2797","3.0006","4,18%","3,1402"
"01.07.2013","3,0276","2,9040","3.0565","2.881","4,30%","2,9688"
"01.06.2013","2,9027","2,7545","3.0059","2.723","4,28%","2,8644"
"01.05.2013","2,7835","2,6358","2.7932","2.5933","5,66%","2,6932"
"01.04.2013","2,6345","2,5933","2.6455","2.5701","1,57%","2,6078"
"01.03.2013","2,5937","2,5869","2.6249","2.5243","0,28%","2,5746"
"01.02.2013","2,5864","2,7031","2.7229","2.5791","-4,31%","2,651"
"01.01.2013","2,7029","2,7020","2.7387","2.641","0,05%","2,6898"
"01.12.2012","2,7015","2,7726","2.7884","2.672","-2,71%","2,7302"
"01.11.2012","2,7768","2,6317","2.7792","2.5868","5,52%","2,683"
"01.10.2012","2,6315","2,6066","2.6721","2.5977","0,94%","2,6349"
"01.09.2012","2,6070","2,5545","2.6727","2.5482","2,13%","2,6104"
"01.08.2012","2,5527","2,5288","2.5851","2.47","0,95%","2,5276"
"01.07.2012","2,5288","2,5464","2.5533","2.4448","-0,57%","2,499"
"01.06.2012","2,5432","2,4999","2.6228","2.4896","1,77%","2,5562"
"01.05.2012","2,4989","2,5216","2.6674","2.4741","-1,08%","2,5708"
"01.04.2012","2,5262","2,4540","2.5312","2.3726","3,70%","2,4519"
"01.03.2012","2,4360","2,2854","2.443","2.2678","6,49%","2,3554"
"01.02.2012","2,2875","2,2879","2.3045","2.236","0,18%","2,2702"
"01.01.2012","2,2833","2,4100","2.4437","2.2535","-5,28%","2,3486"
"01.12.2011","2,4105","2,4293","2.4511","2.3809","-0,78%","2,416"
"01.11.2011","2,4295","2,3785","2.5405","2.3474","2,13%","2,444"
"01.10.2011","2,3788","2,5052","2.5381","2.3372","-5,39%","2,4376"
"01.09.2011","2,5142","2,2838","2.6158","2.2584","10,07%","2,4371"
"01.08.2011","2,2841","2,2229","2.3572","2.2067","2,47%","2,282"
"01.07.2011","2,2291","2,2639","2.2733","2.1825","-1,60%","2,2279"
"01.06.2011","2,2654","2,2731","2.3261","2.248","-0,37%","2,287"
"01.05.2011","2,2737","2,3357","2.4076","2.2636","-2,55%","2,3356"
"01.04.2011","2,3331","2,3115","2.364","2.2516","0,96%","2,3078"
"01.03.2011","2,3110","2,2960","2.3772","2.2829","0,68%","2,33"
"01.02.2011","2,2955","2,2815","2.3171","2.2342","0,61%","2,2756"
"01.01.2011","2,2816","2,2143","2.3083","2.166","2,80%","2,2371"
"01.12.2010","2,2195","2,2261","2.2871","2.2004","-0,26%","2,2438"
"01.11.2010","2,2252","2,3743","2.4106","2.2254","-6,19%","2,318"
"01.10.2010","2,3720","2,2993","2.4022","2.2952","3,10%","2,3487"
"01.09.2010","2,3007","2,2272","2.3299","2.175","3,33%","2,2524"
"01.08.2010","2,2266","2,2893","2.3426","2.2205","-2,71%","2,2816"
"01.07.2010","2,2886","2,2090","2.3363","2.2016","3,68%","2,269"
"01.06.2010","2,2074","2,2395","2.2684","2.1639","-1,44%","2,2162"
"01.05.2010","2,2397","2,3199","2.4051","2.194","-3,07%","2,2996"
"01.04.2010","2,3106","2,4093","2.4186","2.286","-4,13%","2,3523"
"01.03.2010","2,4101","2,4607","2.4665","2.3699","-2,11%","2,4182"
"01.02.2010","2,4620","2,5903","2.6396","2.4269","-5,80%","2,5332"
"01.01.2010","2,6137","2,4967","2.6307","2.4714","4,72%","2,551"
"01.12.2009","2,4958","2,6343","2.6483","2.4832","-5,28%","2,5658"
"01.11.2009","2,6349","2,5947","2.6374","2.5393","1,52%","2,5884"
"01.10.2009","2,5955","2,5939","2.6374","2.5293","0,11%","2,5834"
"01.09.2009","2,5926","2,6930","2.7304","2.5736","-3,78%","2,652"
"01.08.2009","2,6944","2,6617","2.7182","2.5737","1,38%","2,646"
