"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.12.2024","6,1778","6,0002","6,3144","5,8665","","3,43%"
"01.11.2024","5,9730","5,7885","6,1159","5,6335","","3,22%"
"01.10.2024","5,7867","5,4501","5,7949","5,4037","","6,21%"
"01.09.2024","5,4482","5,6464","5,6769","5,3938","","-2,89%"
"01.08.2024","5,6103","5,6507","5,8648","5,3755","","-0,70%"
"01.07.2024","5,6500","5,5921","5,7017","5,3700","","1,03%"
"01.06.2024","5,5925","5,2459","5,5995","5,2137","","6,64%"
"01.05.2024","5,2443","5,1940","5,2587","5,0437","","0,98%"
"01.04.2024","5,1934","5,0147","5,2916","4,9970","","3,55%"
"01.03.2024","5,0153","4,9708","5,0557","4,9311","","0,88%"
"01.02.2024","4,9716","4,9496","5,0184","4,9072","","0,38%"
"01.01.2024","4,9526","4,8534","5,0023","4,8309","","2,07%"
"01.12.2023","4,8521","4,9265","4,9773","4,8018","","-1,39%"
"01.11.2023","4,9205","5,0357","5,0457","4,8363","","-2,27%"
"01.10.2023","5,0350","5,0308","5,2210","4,9306","","0,06%"
"01.09.2023","5,0320","4,9555","5,0800","4,8390","","1,57%"
"01.08.2023","4,9544","4,7295","5,0024","4,7280","","4,88%"
"01.07.2023","4,7241","4,7885","4,9507","4,6950","","-1,29%"
"01.06.2023","4,7860","5,0553","5,0588","4,7505","","-5,37%"
"01.05.2023","5,0574","4,9875","5,1279","4,8847","","1,42%"
"01.04.2023","4,9865","5,0637","5,1002","4,8921","","-1,51%"
"01.03.2023","5,0631","5,2369","5,3421","5,0547","","-3,32%"
"01.02.2023","5,2367","5,0736","5,3092","4,9401","","3,22%"
"01.01.2023","5,0731","5,2865","5,4802","5,0560","","-4,03%"
"01.12.2022","5,2860","5,1856","5,3730","5,1160","","1,95%"
"01.11.2022","5,1851","5,1803","5,5307","5,0184","","0,12%"
"01.10.2022","5,1791","5,4158","5,4158","5,1083","","-4,36%"
"01.09.2022","5,4154","5,1833","5,4300","5,0766","","4,48%"
"01.08.2022","5,1831","5,1759","5,3163","5,0076","","0,19%"
"01.07.2022","5,1734","5,2569","5,5152","5,1448","","-1,58%"
"01.06.2022","5,2562","4,7319","5,2792","4,7218","","11,09%"
"01.05.2022","4,7315","4,9692","5,2102","4,6904","","-4,84%"
"01.04.2022","4,9721","4,7408","5,0461","4,5805","","4,92%"
"01.03.2022","4,7390","5,1605","5,2233","4,7148","","-8,16%"
"01.02.2022","5,1599","5,2983","5,3509","4,9939","","-2,72%"
"01.01.2022","5,3041","5,5668","5,7255","5,2838","","-4,78%"
"01.12.2021","5,5703","5,6243","5,7579","5,5175","","-0,95%"
"01.11.2021","5,6239","5,6221","5,7000","5,3879","","-0,24%"
"01.10.2021","5,6372","5,4432","5,7547","5,3527","","3,57%"
"01.09.2021","5,4428","5,1694","5,4767","5,1310","","5,70%"
"01.08.2021","5,1492","5,2158","5,4757","5,1101","","-1,21%"
"01.07.2021","5,2123","4,9705","5,3145","4,9467","","4,90%"
"01.06.2021","4,9686","5,2210","5,2212","4,8929","","-4,77%"
